A,B,C,D
4693,Awesome shirts and great process to make sure you approve your design. The customer service this company has is out of this world. They treated me with professionalism that can only come from a company that cares about every customer. Thank you Gigi and the whole team.,Rush Order Tees ,R
4694,"I needed shirts in a hurry for an event but I didn't have a graphic designer friend to help me with the designs and I couldn't wait 2 weeks for the shirts to be screen printed and shipped. I called Rush Order Tees, they we're super friendly and assured me that the shirts would be done and shipped across the US in time for everyone to have their custom t-shirts at the party..Their team designed what I asked them to design, for free, and the shirts came out awesome..The price was amazingly competitive and the shipping was FREE..I loved ordering from this company and will do it again next time I need shirts or hoodies or something - looks like they have a good selection of products..I'd recommend them to everyone!",Rush Order Tees ,R
4695,"When reading about this company on their website, I thought it was perfect.
After beginning, I found that instead of designers, they were people who could pull clip art and letter together quickly..I read the whole website and never found what the charge would be for help..It was very expensive..When I finished, I asked the person working with me if I would get the discount at the top of the site..He assured me I would..So I accepted the mediocre shirts and went to checkout..At checkout there was no discount so I got back on chat..At this time the rep told me it was included no additional..There sure needs to be improvement on the website and in the communication..If I ever use them again which is doubtful, I will sure do my own clip art and letters..They did ship promptly and they came as promised.",Rush Order Tees ,R
4696,"Horrible experience dealing with RushOrderTees.com. While the customer service reps were nice, they still sent me incorrectly printed t-shirts for 3 orders in a row. This included working with them in between each order to try and fix the issue (which was a simple logo placement location issue).",Rush Order Tees ,R
4697,"Great t-shirt collection, fast service and helpful customer service!",Rush Order Tees ,R
4698,"Please read the updates as well.

The shirts came out nice except one bled. I sent communication to the customer.",Rush Order Tees ,R
4699,Hands down best tee shirt company around! From reasonable prices to outstanding customer service I could not be happier! I order shirts for a walk and the design process was so simple ! Free shipping also and added bonus ! But most importantly my shirts looked great! I was even able to add a shirt few days before they shipped with no issues! Also once we recieved our shirts all fit as promised however we did need to call in to customer service one persons at no fault to rush order tees order a size that was a lil snug! Once again to my delight rushordertees took care of the issue above and beyond what I expected! I will only order my shirts from here for now on!,Rush Order Tees ,R
4700,"Their service is phenomenal, and they took care of me when I had a problem and dealt with it super fast and caring. I loved the way the print came up and even with Covid-19 going on they kept me up to date on my order. I will be ordering again, (side note: recommend going up a size or 2 for a little more space, especially if your on the bigger size. Certain shirt and clothing brands provided will fit tight or a little snug if your not famliar with that brand like Gildan, or Triple A) Overall great experience!",Rush Order Tees ,R
4701,"I came up with the idea for the class t-shirt literally 24 hours before it was needed. From the first online chat for ordering to the onetime delivery, the service was outstanding. Maybe the nicest surprise was the quality of the product, but design and materials. Would absolutely recommend this site for all custom t-shirt needs , especially if you are in a ""rush"".",Rush Order Tees ,R
4702,"I was waiting for another vendor to print my shirts and when that fell through I was in a panic to find another company to do the shirts in time..It is with GREAT confidence that I recommend Rush Order Tees, they confirmed the artwork, printed the shirts and delivered them on time with a quality shirt that everyone was pleased with..I again want to thank them for making my event a success.

Quality printing from the 3XL to the Youth -Medium that were ordered.",Rush Order Tees ,R
4703,A sizing issue with first order. Company rectified the problem. If I could give them 6 stars I would. Great quality and good work. My new favorite hoodie!,Rush Order Tees ,R
4704,Received our sweatshirts with misplacement of logo and missing phone number. They reviewed and are replacing them with no hesitation. 5 star for their customer service and how well they work with you.,Rush Order Tees ,R
4705,"Rushed order for a trade show coming up for the crew to wear and items arrived defective. Logo I had printed came out half way. Now I need to find a place local, go out of my way and spend more money to get it done before this coming Monday. Very upset with the results and hope they make it right asap. Would consider re-ordering from them if I was ensured the quality check would be there. Sweater and Shirt material is great, but they let me down with the print.",Rush Order Tees ,R
4706,"Great experience with them..They help you make sure your design looks perfect--or can help you with a design altogether.

If you need your order faster than what's provided in check-out, just chat message them.

It's truly the most well-priced, pleasant experience you could have in designing t-shirts.",Rush Order Tees ,R
4707,"Super prompt, and very pleasant to deal with. I only order custom shirts from here now, and it's very easy to get answers or issues fixed (I've only had 1 minor error out of 8+ large orders).",Rush Order Tees ,R
4708,I designed and ordered t-shirts for our Boat Club fishing contest and was happy of how easy it was to do. They did a great job making sure everything I put on the t-shirts looked their best. I was 100% satisfied as was all the participants in the tournament. We will be coming back for next years tournament!.A+.highly recommended!,Rush Order Tees ,R
4709,"Hi,

The Rush Order Tees Crew was excellent in both service and quality of product. They were more than willing to work with me and my request and I really felt they bent over backwards for me to get my shirts exactly as I requested. 5 Stars and I would give them 6 stars if it was available! A great experience all around, communication, service, product and time lines, all spot on!

Thanks So Much Rush Order Team!

Cary Myers
Colorado EXO Project
Avon, CO
†",Rush Order Tees ,R
4710,"They're sending us a whole new order,.because our shirts weren't the same quality as our last couple of orders. I called customer service, and not even an hr later we received an email stating that they were replacing our order!",Rush Order Tees ,R
4711,"Rush Order Tees is a great company!.The prices are fair and competitive, and the customer service is top notch..I have ordered 2 different sets of shirts in the last 6 months and the shirts and sweatshirts have been great quality items..I won't go anywhere else when I need shirts in the future.",Rush Order Tees ,R
4712,"My entire experience with Rush Order Tees was incredible..My daughter needed t-shirts for her softball team to wear for scrimmages..We ordered the t-shirts Wednesday night and received them on Saturday morning..When we told them we needed them for Monday they did not hesitate in saying they could get the order done and delivered..Everyone was so nice from the very first chat room for questions, to designing the t-shirt, to working with Ian to get the price and the very quick turnaround for the proofs..I would highly recommend Rush Order Tees to anyone who asks..Thank you!",Rush Order Tees ,R
4713,"I ordered a t shirt with a special logo for my son for Easter. I was told multiple times through email that it was guaranteed arrival by April 10th. well April 10th came and went and I didn't receive anything. I called and the customer service rep was rude and said they couldn't guarantee delivery because ups is prioritizing shipments. I can understand that but don't guarantee a date if you aren't able to fulfill it by that date. I paid and extra 17.99 for shipping to get here in time. Their website status said it was still being processed and the rep said it was shipped, so which one was it? I wouldn't have purchased the shirt for a total of $40.00 if I knew it wouldn't be here in time for the event it was purchased for. I asked for a refund (since I don't have the shirt and it wasent sent yet) and I was told that they would only refund shipping.very disappointed and will not shop with them again.",Rush Order Tees ,R
4714,Love Rush Order Tees! They made absolute AMAZING tank tops for my sorority for our recruitment event. They were so helpful during the entire process and even with the specific details we wanted. The artists design for the shirt were so much more than we wanted it was above and beyond what we thought it would be. Would definitely recommend!,Rush Order Tees ,R
4715,"I have nothing but good things to say about this company.

Fast, accommodating, very knowledgeable staff, and importantly, Matt made certain that I was ordering exactly what I wanted. We needed a few shirts in time for a short notice interview with the local news station for our business and turned to Rush Order Tees since there wasn't a --single-- local embroider who could take our work in less than a week's time.

I'd highly recommend Rush Order Tees to anyone and we'll certainly be back to order more shirts for our company.",Rush Order Tees ,R
4716,I love my t-shirts!.The website was easy to use. I designed great t-shirts for my Girl Scout troop..Customer service was great too..I received awesome shirts at a good price ahead of schedule. Very pleased!,Rush Order Tees ,R
4717,I was shocked at how fast they confirmed my order on such short notice. They were so personable and the email was not automated to confirm my tshirt order- it was from an actual person who emailed me back immediately! Will for sure use again. Their tshirt quality is great and the design transferred perfectly!,Rush Order Tees ,R
4718,What a wonderful site! It was so easy to design the sweat pants. Then I get an email to confirm what I designed was correct- after it was checked over by their staff..The pants were received very quickly in time for our travelling to visit family (they were given as gifts)!.Everyone loved them..I will definitely be back! Thank you very much!,Rush Order Tees ,R
4719,Rush Order Tees delivered my order 4 days ahead of schedule! They called me and made sure my Tees were perfect. They even made my design better. My students loved the quality of the shirt. I will use Rush Order Tees again. Thanks you guys. I wish I could give you a tip!,Rush Order Tees ,R
4720,"Amazing!.They got custom printed t-shirts to me in three days, even after I made changes to the proof..A rep personally called me and worked with me through out the process..The price was very competitive and their t-shirt Builder cannot be beat.
Thank you, it was a perfect Father's Day gift, at the last minute no less!",Rush Order Tees ,R
4721,I had a fantastic experience with Rush Order Tees..Design was easy and I was contacted immediately to resolve one small issue in my design..The shirts arrived several days before the estimated date of arrival and they looked great.,Rush Order Tees ,R
4722,Rush order tees thrive for customer satisfaction! I am beyond pleased and very satisfied with customer care. I cannot wait to receive my shirts!,Rush Order Tees ,R
4723,"Easy to order, accurate, prompt delivery and fair-priced. The ONLY reason we are not giving 5 stars is although the product (aprons) was very nice looking, the fabric was quite thin, not as heavy as we were anticipating. We would likely use them for future purchases when we have more time and to perhaps ask for a sample of fabric.",Rush Order Tees ,R
4724,"I ordered a sweatshirt with rush order tees and it had what looked like a water stain but wouldn't wash out..I contacted them, they answered, and a replacement sweatshirt is already on its way..Great customer service.",Rush Order Tees ,R
4725,"This was the best custom shirt company I have ever dealt with. They called me personally a couple of times to make sure my order was correct, and even suggested replacements at no cost for better quality. The had the lowest price and by far the best customer experience I've dealt with for personal online orders. There were no surprises!",Rush Order Tees ,R
4726,"Their website was easy to use and very clear. Awesome customer service, responded quickly and worked with me on making a final proof. They even made a new font to work with my design. Usually have some kind of discount going on. Fast shipping and great about keeping you up to date on your order. Will definitely use again.",Rush Order Tees ,R
4727,"I ordered a set of t-shirts (printed on both sides) recently. I designed my t-shirts online, went through an easy ordering process, and received my order promptly. T-shirts look great, sizes were true, printing quality was fantastic. I will be a happy repeat customer.",Rush Order Tees ,R
4728,"I had an issue with the screen print on the shirts I had ordered a few months ago, and without hesitation after reaching out they are shipping replacements. Amazing customer service.",Rush Order Tees ,R
4729,"Not only did I receive my orders in a timely manner, but the quality of the printing and t-shirts is amazing!.",Rush Order Tees ,R
4730,"I used the design builder on the website they have and it was VERY easy. At first i only needed 2 t-shirts, but after seeing how much cheaper it was to buy more the 3 i was very amazed! I ended up buying 5 shirts and 2 hoodies for a great price.
I was able to call them and Josh helped with sizing and fitting compared to items i already owned, he spent his time making sure my order was correct and sizing was perfect.
The items came in yesterday and when i opened the box I saw my new company shirts, front was VERY CLEAR and great printing, the back of the items even better, thick ink and ready for a long term usage..The t-shirt alone was a very high commercial grade material.

They will get my business in the future for many years to come.",Rush Order Tees ,R
4731,"I recently purchased t-shirts from RushOrderTees! My experience was stellar from beginning to end..I had many questions which resulted in my making multiple phone calls and sending multiple emails..Each phone call and email were met with a prompt, professional and friendly reply..In addition, each request was fulfilled. I will definitely be using this company again and will recommend them to others!",Rush Order Tees ,R
4732,"I did not have a good experience with Rush Order Tees. Although the shirts looked great, I was not given the correct quantity of each size. This was extremely unfortunate due to the fact these were needed for an event the day after they arrived so I did not have time to order additional sizes. I wished I had a better experience because they did a good job in terms of the shirts.",Rush Order Tees ,R
4733,Our family reunion T's arrived FAST and they look just as I had designed them - they're awesome!.Quality cotton material; sizing runs 'roomy'; vintage print looks fantastic..Very pleased and will order again from them.,Rush Order Tees ,R
4734,Amazing! Great price and quick turnaround. There was an error my order that the team worked around the clock to make right and ensure my order was on time for a big company event. I was so uneasy and my customer care rep Jarrad Rosson was so kind and detailed. He made sure I was feeling confident in exactly what was happening every step of the way! Shoutout to Jarrad for making it the best experience possible.,Rush Order Tees ,R
4735,"the shirts turned out perfect. the price was reasonable, and the website made it very easy to make them exactly how i wanted. after i finished my design they sent an email to confirm they were what i wanted, and everything was recieved the day they were supposed to. thank you Rush Order Tees for a job well done",Rush Order Tees ,R
4736,I've tried quite a few “design your own” sites but I always come back to Rush Order Tees. They make it so easy and the quality can't be beat. Just ordered two more shirts so I think that makes about 12 altogether. I'm addicted! You won't be disappointed.,Rush Order Tees ,R
4737,"Please don't order from here. The shirts had proofs that were all messed up. It took so many emails to try and get it corrected and I eventually gave up. Then I got an email saying the shirts were delivered when they hadn't been and we've never had a missing package. I call, they did a reprint but I had to send someone to drive to their building to collect because I leave for my honeymoon tomorrow. They had to change it to low quality printing to get it done and I no longer would get the tanks I ordered. I send the person, he gets there and the building is empty three hours before the closing time I was told. He shouted hello a bunch of times and even looked around for someone. This took about twenty mins. Finally someone comes out and tells him he is not allowed to be in the building that we were instructed to go to. My pickup person tells them why he's there and the employee said they would go check. He comes out and says another 20 mins. After this poor person literally circled the building. During all this I was on hold until the call prompted an automatic callback which never came. I'll advise anyone, stay away.",Rush Order Tees ,R
4738,"I am very satisfied with RushOrderTees! When a mistake was made on my order, they immediatley fixed the issue! I have used other places, but this Team hands down diliver the best products!",Rush Order Tees ,R
4739,"Amazing. Seriously the best service, easy to place my order entirely via Chat on their site. I had some really crappy image files made in powerpoint, and they were able to use them. Several local vendors said they couldn't and needed vector files which I would need help to get. They also were great with changes and sending proofs before starting production, and super quick turnaround.
I will be using them again in the future without question.",Rush Order Tees ,R
4740,My students came across Rush Order Tees over the summer while they were designing their senior shirts this year..The website is easy to use and the personal service is great as well..One of the greatest benefits is the price..I loved that there wasn't any hidden fees and to top it off the prices were the lowest we found..I've already recommended Rush Order Tees to other clubs and organizations at my school and I'm getting ready to place another order for myself as well.,Rush Order Tees ,R
4741,"The representative from Rush Order Tees helped me design the T-shirts for my family reunion, taking in mind my limited budget and short-time frame..The T-shirts were beautiful!.They arrived on time and exactly as we discussed and designed..Everyone was happy!.My family wore them during the cook out and they looked beautiful in the summer sun!.I would definitely order from them again!",Rush Order Tees ,R
4742,I got my shirt the print quality was great but I was not happy with the placement so I said something and they made it right I am very happy how things turned out with my sample and think they will be a great fit to do my production runs.,Rush Order Tees ,R
4743,"Fantastic customer service and quality! I ordered 10 shirts for a family event last Monday, received by Friday. Unfortunately the womens t shirts ran small so needed to order 2 more shirts. No problem, one phone call on Sunday morning, and the new shirts will arrive by Wednesday. That is amazing! It's the week before Christmas too. The shirt quality is excellent, womens bella is super soft cotton, but slim fit and runs small. Anvil more true to size fit apparently. Men's premium ts are excellent quality, soft and a good weight. Print quality also excellent. I highly recommend and will definitely order again. Thank you for the great service!

I spent hours trying to make t shirts at those other sites where you can sell your cool design, but Rushordertees is by far the easiest to navigate, create and order. And get actual rush shipping. (the other places couldn't rush ship on many t styles , but you don't know that until you get right to the end of the process)",Rush Order Tees ,R
4744,"Easy to design, very polite customer service and a.quick turnaround, They were very helpful in honoring a coupon voucher that I had misplaced and that had expired by one day when I found it! The end product looked great too! Prices are very reasonable compared to the same exact design and colors at competitors sites. I will be using Rush Order Tees in the future!",Rush Order Tees ,R
4745,Great quality shirts!.Printing comes out exactly as designed!.If there is any issue they reprint for you.no questions ask..They are the best online design shop by far!,Rush Order Tees ,R
4746,"I was very happy with the design we received on our SYNC shirts..They were a big hit with all that saw and received them..This is the second time I have used Rush Order Tees and I am extremely happy with the service we receive..I will order again when we are ready for more shirts.

Thank you
Rhonda Henson
SYNC President/Chairman of the Board",Rush Order Tees ,R
4747,"I can't rave enough about the amazing customer service and talent at Rush Order Tees! I had a very last minute special order that was very important to my son and I couldn't find anyone who would do it. From my first contact with Mike Callahan, I felt that I found the right place. I had the design immediately and the t shirts right on time.
You guys are amazing.
THANK YOU",Rush Order Tees ,R
4748,"I had them change my design multiple times, sometimes repetitively back to an older version just to make sure that the final was truly what I wanted. They were quick to answer questions (they were very kind and polite with me) and change my design if needed. My purchase was also shipped and delivered by the time that had been stated. The designs were also very good quality! If someone was looking to purchase I would DEFINITELY recommend them!",Rush Order Tees ,R
4749,"Not reliable,
Placed an order for a specific date of delivery. Had to confirm with staff via phone service that hung up on you after holding for a long time. Left number and never got a call back, so called the next day, they still confirmed the shipment receipt date. Order was shipped on the date it was due and delivery would not be on time. A total waste of time and an event ruined!",Rush Order Tees ,R
4750,"This is the first year we've had our camp T-Shirts done by Rush Order Tees, and I'm very impressed..They were helpful with design and set up, and turn around time is really fast. This is the first time we've had our shirts shipped well before camp. We've used various local companies over the last 15 years, but so far, Rush Order Tees is the best. Great price and quality. I would caution for group orders, be sure to order enough, because it is a little costly to go back and order a few later.",Rush Order Tees ,R
4751,"Great job by the folks at Rush Order Tees. I judge a lot of businesses based on what happens if something doesn't go according to plan. We ordered 100 shirts that came with a misprint. We notified ROT and within 5 days, we had the new shipment with the issue fixed. Well done!",Rush Order Tees ,R
4752,My order came but part of the text was missing. They responded quickly and replacements are on the way. Now that's customer service. I will definitely use them again in the future.,Rush Order Tees ,R
4753,"This was one of the best experiences I have had with online shopping..This company was professional, ethical(they required approval for my logo), efficient and friendly..The shirts were of outstanding quality! So well made and just as I had hoped/designed..Thank you! I'll be back for more!",Rush Order Tees ,R
4754,"These guys are great..I needed some last minute T-shirts in less than 48 hours and they got everything done fast, customer services was great, the shirts looked great and everything arrived on time..I will use these guys even when I don't need a rush order..They are that good.",Rush Order Tees ,R
4755,"When my custom t-shirt arrived and i opened the package, one of the images was smudged and distorted..I called customer service and they sent another one quickly and without a hassle..Great customer service experience.",Rush Order Tees ,R
4756,Rush Order Tees was fantastic! We were able to put our artwork together and order the shirts all in one place. The process was simple and the customer service rep on chat was incredibly helpful when i had a question about logo placement. Would highly recommend.,Rush Order Tees ,R
4757,"I've never written a review for a service or product..Generally speaking, this is out of apathy..After a friend of mine was diagnosed with brain cancer, we felt it was important to have some shirts made for when she went into surgery..Because of the nature of the surgery it needed to be done fast, so I had very little time to design and have the shirts printed and shipped..Rush Order Tees went out of their way to help me have these done quickly, and they look great..Geraldine was the customer service rep I interacted with and she was wonderful, compassionate, and very helpful..I would definitely recommend this site to anyone looking for quick and quality work.",Rush Order Tees ,R
4758,"This is the second Mardi Gras in a row that my friends and I have used RushOrderTees for our custom t-shirt needs and I couldn't be happier. The shirts are of the HIGHEST quality, designed exactly as requested, and delivered SO quickly. We will continue to use them in the future!",Rush Order Tees ,R
4759,I ordered a hoodie from RushOrderTees and when it arrived my whole hoodie was completely changed. I ordered red ink and it came basically faded on the hoodie. Not to mention they gave me a completely different hoodie than I asked for. I called multiple times because my order came about 2 weeks late but I didn't mind because of the outbreak but I had hoped that when it finally came that it would be worth it but that wasn't the case. They had apparently ran out of stock for the hoodie I had ordered so they replaced it with a more thinner cheaper quality hoodie without informing me. If it was possible to give a zero rating I would. This hoodie was $50 and looked more like it cost $5 the most.,Rush Order Tees ,R
4760,"If there were an option for a sixth star on this rating, I would give it! Rush Order Tees was incredible to work with. I experienced nothing but friendly, timely, quality, customer-centric service that stood out to me above other vendors. My experience proved to me that Rush Order Tees is definitely on top of their game. I highly recommend them!",Rush Order Tees ,R
4761,They were easy to work with as my order changed..When there was a very minor issue with the order they MORE than made up for it with sending replacements.PLUS!.No questions asked..Great customer service,Rush Order Tees ,R
4762,"RushOrderTees was overall wonderful. Great service, very specific as to what their rules and regulations are for a custom designed t shirt . I ordered 20 custom shirts with designs on the front and back for my college's theater club, and they turned out great!
Just for reference, my colors for the design were black, white and red on a black t shirt, so it was a pretty simple design in the scheme of things. I like that you can adjust things to your liking, and RushOrderTees does a wonderful job at keeping a customer in the loop. They also have great suggestions as to the placement of designs on shirts.
The only con is the following: some of the shirts had cardboard fibers on theme because there was no barrier inside between the shirts and the box for shipping. I wish they wrapped the shirts in plastic, and THEN put them in the box.
Even still, all the sizes were correct, the design came out exactly as I wanted, the prices are fair, and everyone loved the result! Will definitely be using this service again! :)",Rush Order Tees ,R
4763,"The tee shirts came out perfect an online ordering is super easy. The sales associates seem unnecessary unless you need help designing your shirt. They did not offer any additional price cuts, even though they said they were checking for the ""best price"" a couple of times. It was the same price the website quoted. I found an online coupon code and got a better deal on my own. The associate seemed upset when I told her I already ordered; I assume because she did not get the commission or whatever. Overall, a good experience and an awesome product we are super happy with, I would just skip the sales people.",Rush Order Tees ,R
4764,"Very pleased with our experience. We needed shirts fast and I found this company.on the internet. Took a chance.they took our order easily and quickly over the phone and the internet - simultaneously. They made our graphic look great and I appreciated the women's shirt style which actually looks good on the women. My only complaint was that I had wanted the shirts before my meeting and they arrived the day they were supposed to, but in the evening - after I had already left for my meeting. Well I guess that was the shipper's fault.",Rush Order Tees ,R
4765,"The site was very user friendly, and the chat feature really helped me select the right product for my needs and budget..The proofs were provided quickly, as well as when I requested changes. Once the product arrived, I was very happy with the quality and would definitely use them again, and recommend to others.",Rush Order Tees ,R
4766,"On the night i placed my order, i realized that i made some mistakes on the names..I emailed them and the next business day they called me back..They were very cooperative, helpful and understanding..They corrected my mistake and the t-shirts were delivered on time..Having not ordered from them before, i did not know what quality the printing would be..I was delighted to see it was very high quality..I will definitely order from them again..Top-notch company, top notch product.",Rush Order Tees ,R
4767,Luke was great. He understood my concern and provided a quick answer.,Rush Order Tees ,R
4768,"Rush Order Tees website is easy enough to navigate. My students were able to design their class shirts at an affordable price for everyone. We all love how they came out and are excited to wear them during team competitions throughout the school year! Great quality shirts, bright colors, fun graphics, delivered in a quick timeframe.Good job R.O.T. I look forward to ordering from you once again next year!",Rush Order Tees ,R
4769,"I needed 150 t-shirts designed and shipped right away, and Rush Order Tees came through!.I was having trouble with my logo and so I ""chatted"" with a representative of ROT and they actually worked on my design for me and came up with the perfect t-shirt!.I was so pleased with their customer service and their prices..The shirts came as promised and I couldn't be happier.",Rush Order Tees ,R
4770,"The website was very easy to use and my order arrived incredibly quickly considering the circumstances of 2020..Although there was an issue with the printing on the order that arrived, I left a customer complaint and was addressed quickly and very politely..I greatly appreciate how customer-oriented this brand is!",Rush Order Tees ,R
4771,"I needed a small order delivered in four days, and they did it!.The shirts looked great, and the staff helped me order just what I needed via the instant chat on their website..The order was affordable, shipped on time, and service was great..I would recommend this company.",Rush Order Tees ,R
4772,UPS apparently did not deliver my order to the proper address although they claimed they did. Rush Order without any hassle immediately agreed to replace the missing order. Very reputable and reliable.Company.,Rush Order Tees ,R
4773,"The total experience was wonderful. The t-shirts turned out fantastic and everyone loved them! This is rated 5 stars BUT
It did get a bit bothersome when ""sales"" would call me and text me pushing me to order. I was working with one person and was very happy with her. I finally got fed up with the sales pitches that I just placed the order and was very satisfied.",Rush Order Tees ,R
4774,Great customer service! Thank you team for the quick response and thank you Dana for helping me out on the phone. Super nice people all around as far as I can tell. I had a hiccup on my order that was partially my fault but they took care of me and the prints do look nice. I'll definitely order from them again!,Rush Order Tees ,R
4775,"Easy to use website, truly are ""rush"" order with quality printing. Rare to find a company that also backs up their commitment to customer service. I would recommend and use again for future items.",Rush Order Tees ,R
4776,"I found Rush Order Tees by a Google search. I could not have been happier! The shirts were reasonably priced, they were delivered before the date promised and I was even able to add on to the order when I realized a few days later that I missed one. The shirts are wonderful quality, the colors in the screen printing was so bright and vivid. I can not say enough wonderful things about this company. I will definitely be ordering from Rush Order Tees again! Thank you for being awesome!",Rush Order Tees ,R
4777,Ordered from here on more than one occasion..There was a imperfection only one time and they very quickly fixed and sent out a replacement. Overall a very easy to deal with company with superb quality shirts.,Rush Order Tees ,R
4778,"RushOrderTees saved our event! We ordered 500 hats from another company which took 2 months to come in and even though we had approved a proof, the hats came misspelled! So I chatted with Francis from RushOrderTees on a Thursday who assured me 500 hats could arrive that Monday. They came exactly on time and were PERFECT, not to mention much better quality than the hats we had ordered from the other company. We will certainly be working with RushOrderTees frequently in the future.",Rush Order Tees ,R
4779,"I placed an online order and then went through 2 rounds of edits (changing quantity, size and adding products) with my customer service rep..The changes were handled quickly and professionally and I was provided with a final date to make any additional changes without affecting my shipment date..Will definitely work with these guys in the future..Total pros!",Rush Order Tees ,R
4780,"I was looking for cheap shirts that could be ordered quickly. Designing my shirts were very easy, and even with a sizing mix up my shirts still arrived before my fraternity's event 5 days after I placed my order. Will definitely use them again!",Rush Order Tees ,R
4781,They were really helpful in getting back on my order and said they would send a replacement right away because there was something misspelled. They really got rid of my stress as I was so worried as to what would happen with the shirts. It's for a club on campus and I couldn't disappoint the members so im glad they were so helpful!,Rush Order Tees ,R
4782,"I needed 22 teeshirts for a family cruise that my family and I were taking on June 25th. I contacted RushOrder Tees on 6/10 and needed the shirts by 6/21.I had the distinct honor and pleasure of talking with Bria Brown, who not only got me a very good deal on the shirts , but also gave me expedited shipping at no additional cost. I had to contact her several times for changes in the order, and she was always so very pleasant and helpful each time. She made the process so much more pleasant. When I received the shirts, I was blown away by how great they looked. My family members absolutely loved them. Miss Bria Brown also contacted me a few days after I received the shirts to ask if everything was alright. I was so pleasantly surprised by her going the extra mile to contact me. Rush Order Tees should be very proud to have people like Bria Brown represent their company. Talking about customer service, this pleasant young lady was exceptional. I will always use this company for now on and have told friends and family how great this company is to do business with. Thank you Bria Brown for your time, your patience, and for making me feel that I was your only customer and my satisfaction was top priority, I will always remember my experience with YOU!",Rush Order Tees ,R
4783,Excellent experience. There was a miscommunication between sales and the art department but Karie from the art department spoke to me on the phone and cleared everything up. I got my shirts the day they were promised and they were great! My client was thrilled with the end product and we will be ordering hoodies and other items in the fall. This will be my go to company now for this type of project.,Rush Order Tees ,R
4784,"Great.if you're not in a RUSH. Got a text day before order was to arrive to be told item wasn't in stock..Order was 17 shirts, some men's some women's..Men's shirt not in stock and can't.get in time..Asked if we could sub another product (for the men's shirt that's outta, stock).Answer was yes, but would have to change change the product for the ENTIRE order?.Went ahead and cancelled order and we will be t-shirtless for our event..Will get refund in 5-7 days, so money tied up till then with no shirts.not happy!",Rush Order Tees ,R
4785,"Great service, called me multiple times to confirm design notes. Shirts were easy to design, are great quality and shipped four or five days earlier than stated. No complaints at all.",Rush Order Tees ,R
4786,"They have the best online custom t-shirt maker by far so i spent hours creating multiple t-shirts knowing they both accepted PayPal and Visa as payments and they also send overseas. But when i asked for a shipping quote everything became dry. No shipping quote and no other payments than by wire accepted for ""security"" reasons. i have never in my internet ordering history been asked to do so. not even with motor parts well over many grands in value have i been asked to pay by wire.",Rush Order Tees ,R
4787,"Needed custom shirts in a large size and quick, I received my order on time was their when they said it would be. I would recommend to anyone
very easy and quick..The service is unbelievable can't say enough good
things about this company.",Rush Order Tees ,R
4788,Nice enough people to deal with as far as placing the order goes. The printed shirts were fine but sizing the designs for the shirt was a bit tricky. The scale of the shirt image they use for proofs is undersized so your printed design on the final product looks smaller than you intend. They have not taken any responsibility for this discrepancy and have not communicated any interest in changing that. Buyer beware.,Rush Order Tees ,R
4789,"In full disclosure, we were not the greatest of clients. We had last minute changes, and funding problems on our end, however, despite this the folks at Rush Order were very understanding, and worked with us every step of the way. We will continue using them, the shirts were a very high quality, very durable and the printing was superb, at the right price.",Rush Order Tees ,R
4790,"Their guarantee is worthless.
I wanted a custom shirt for a specific occasion on a specific date..The shirt was terribly expensive because I wanted only one shirt, $32.32 for one shirt with a photo and one word under the photo..I needed it by Friday, on the shipping options there was an option ""Guarantee delivery by Friday"" for $21.99 extra..Now I'm at $54.31 for one shirt delivered by Friday..Friday rolls around, late in the day and I start to worry so I log in to track the package and their website actually says that the order is on time for guaranteed delivery on Monday..What kind of nonsense is that? I have the email to prove the Friday guarantee - and they certainly took my money..I call the tollfree number, nobody answers..I called 5 more times over the next hour, nobody there but they wanted me to leave a voicemail..Rush Order Tees has poor practices and non-existent customer service..How can you call yourselves ""rush order"" anything if you mess up this badly on a rush order?",Rush Order Tees ,R
4791,"Print was nice, but I ordered one specific brand and also called to confirm that they could get this product. Not one of the shirts was as requested! I will not use this company again.",Rush Order Tees ,R
4792,"Amazing customer service! Quick, efficient, and to the point. I received phone calls, text messages, and emails to let me know about the progress of my order. This really sets Rush Order Tees apart from the rest! Would definitely recommend them to anyone.",Rush Order Tees ,R
4793,"I ordered a hoodie from this company to give as a gift. I am not satisfied with how it came out. The image printed on the hoodie was not like the proof sent to me; it is small and looks very faded, not vibrant at all. I had higher expectations from this company due to the reviews I read prior to placing my order. Very disappointed in the low quality hoodie I received and will not recommend this place to others.",Rush Order Tees ,R
4794,"We had a 30th year college reunion, and at the last minute thought a t-shirt to remember the weekend would be fun idea..We ordered a long-sleeved t, with graphics on the front, back and sleeve. The quality of the shirt and graphic was excellent, and they were delivered on time! We would highly recommend Rush Order Tees!",Rush Order Tees ,R
4795,"Great printing on hoodies and customer service is amazing.
-Adela",Rush Order Tees ,R
4796,"What began as a terrible experience, turn out to be a decent one. The company started by sending us an incomplete order, then following that by not repsonding to our calls. However after speaking to Alyssa in the customer service department, the company has vindicated themselves. She contacted us & listen to all of our concerns with the order. Shortly after she had a new order sent to our office. Mrs. Seiders is truly an asset to the company.",Rush Order Tees ,R
