A,B,C,D
42,"I recently ordered custom jerseys and t-shirts from Canadian Custom Apparel, and I couldn't be more pleased with the quality and design. Andy did an excellent job designing my jerseys and apparel. I would recommend Canadian Custom Apparel for all your clothing needs.",Canadian Custom Apparel,A
43,"My company purchased a large order of T-shirts for our employees over 5 years ago. We went based on Andy's recommendation. We are a busy mechanic shop and our shirts get dirty daily. We could not be happier with how well they held up. Can't even say how many times they.have been washed and they did not shrink or fade. Would highly recommend ""Canadian Custom Apparel""!",Canadian Custom Apparel,A
44,"Our customized school hockey jerseys came out amazing, the quality of the work was great! Students are so excited to wear them week after week!And parents loved them! They were very reasonable in price and a great turn around on getting them to us for the start of our season.",Canadian Custom Apparel,A
45,I have purchased from CCA on multiple occasions and I can honestly say that they continuously provide excellent products with excellent service..I look forward to using them again.,Canadian Custom Apparel,A
46,Quality Products and Super Fast Turn Around for a rush request we received recently! These guys are amazing and I love the service level.5Star all around. Totally impressed with the amount of options and products available. Check out their showroom if you haven't done so already! I highly recommend Canadian Custom Apparel!,Canadian Custom Apparel,A
47,The guys at Canadian Custom Apparel gave me quality work at a fair price! Helped me along the way with any questions and weren't pushy about selling. Fast response time with emails and completion of product. Going back for another drop forsure,Canadian Custom Apparel,A
48,Nic U working & nic printing setup I wish your business. Sir is may application this need me job i m job lees after lockdown. But is may screen print experience 17/year all kind painting.stekr 'menwal '& screen printing tebile.plz sir Helping to me & may family.but need only Job not anything more.plz sir understand to may canditon.i hope U good response me.thenks & I wishes your business.,Canadian Custom Apparel,A
49,"Andy and Adrian are two really hard working guys..They have just done an order for us which included some embroidery and print. They helped us select the most appropriate and cost efficient method..The quality of design and execution was top notch, as was the service experience. Their shop is always busy, yet they still found time to accomodate a last minute request, which needed to be done on the same day. Thank you, Canadian Custom Apparel.",Canadian Custom Apparel,A
50,"The team was super cooperative and super patient with all of our requests. They wanted to make sure we were satisfied every step of the way. We got jackets done, and our team absolutely loves them. Will definitely use their services again! 100% recommend.",Canadian Custom Apparel,A
51,"Zia at Customize it ALWAYS goes the extra mile in all of his work! He's provided our touch football league (ONTFL) hundreds of shirts every year always on time, EXCELLENT quality - many times coming through for us with last minute orders! He helps me with shirts for my real estate clients/events and even fun get togethers with family/friends.like Superbowl! You need quality prints done by someone who cares - Zia at Customize It is your choice! Thanks Zia! Tammy Laverty Hall Royal Lepage Team Realty - ONTFL/Ed Laverty Legacy Fund.",Customize It Hazeldean,C
52,"2020 i ask for a madmo business card.to be printed.on the back of a zipper hoodie he supplied..I don't know the font, the size, or anything to help Zia,he manages to replicate the card on the sweater, and I LOVED IT. This year 2022 i ask to print more,.he brought to my attention things are not as sharp in image he uploads, somehow he manages to extract the blurry images from the upload,.and print it so that its very clear and bold.He somehow managed to make it 100√óBETTER ! HE IS A MAGICIAN! He is patient and you also need to be patient with him! And he gives honest feedback! íóthank you so much again!",Customize It Hazeldean,C
53,"Glad to have found such an amazing business. Great customer service. Their work is very well done and good quality. They were great in helping me customize a shirt.
Very friendly and helpful. Will definitely buy from again",Customize It Hazeldean,C
54,"Not impressed. Brought a $200 jacket to get embroidered here. They made their own digital key and insisted that it would work. After numerous attempts to call and no call back to let me know if it was done I went in to see them. The circle was stretched to an oval which looks so tacky, would of preferred them not ruin my clothing if they couldn't do it right.",Customize It Hazeldean,C
55,I have used this establishment twice and both times I had a great experience. The product was ready for me the next day and looked great! Also the gentleman behind the counter was very professional and knew what he was doing! Would definitely recommend this place.,Customize It Hazeldean,C
56,"I had a wonderful experience working with Customize It!.I ordered group shirts, wanting a specific picture and design in mind (from a photo I found on Pinterest!)..They were able to make it work while adding a few extra touches..Customize It was also able to have our shirts ready by a given date..Payment (with a discount!) and pick up was easy..I even added an order after the fact without any issues..All in all, a great experience and would recommend to anyone looking for fast, quality printing!",Customize It Hazeldean,C
57,I've used their service twice for custom work on my own tees. They do a fantastic job. Very fast and efficient. Prices are reasonable. I'm always completely satisfied with the results. I will continue to use them for any future work that I need done. Highly recommend.,Customize It Hazeldean,C
58,Second time I've had a custom shirt made here. Super fast and EXCELLENT customer service! Helped me design the logo and printing looked amazing! Very happy. Will be back.,Customize It Hazeldean,C
59,I wanted a specific design for a baseball teeshirt for my husband and they didn't disappoint. They did a great job on the graphic and a speedy turnaround. I wouldn't hesitate to order more from them and they were excellent in their customer service.,Customize It Hazeldean,C
